,customer_lifetime_value
0,2763.52
1,6979.54
2,12887.43
3,7645.86
4,2813.69
5,8256.3
6,5380.9
7,7216.1
8,24127.5
9,7388.18
10,4738.99
11,8197.2
12,8798.8
13,8819.02
14,5384.43
15,7463.14
16,2566.87
17,3945.24
18,5710.33
19,8162.62
20,2872.05
21,3041.79
22,24127.5
23,2450.19
24,2392.11
25,5802.07
26,3946.37
27,5346.92
28,12902.56
29,3235.36
30,2454.58
31,18975.46
32,4715.32
33,5018.89
34,4932.92
35,5744.23
36,13891.74
37,7380.98
38,3090.03
39,2521.63
40,2652.06
41,2771.05
42,3939.01
43,12231.88
44,2443.67
45,12819.1
46,4468.51
47,5514.34
48,3343.88
49,2294.48
50,36707.43
51,33473.35
52,7983.43
53,4854.75
54,4294.0
55,7164.4
56,7619.52
57,3958.0
58,4499.49
59,4059.57
60,4458.11
61,8110.33
62,3339.76
63,24261.02
64,6613.97
65,2930.69
66,8672.19
67,11638.67
68,6846.15
69,11727.78
70,22643.83
71,2614.47
72,2451.75
73,6781.27
74,4974.8
75,8591.6
76,5592.16
77,8009.47
78,11318.09
79,58166.55
80,8025.23
81,5780.18
82,4118.54
83,2523.07
84,6554.22
85,7703.4
86,5926.73
87,2683.47
88,2695.18
89,6047.03
90,13171.01
91,10656.88
92,2527.65
93,2672.1
94,5313.29
95,20946.19
96,8375.35
97,4801.66
98,5745.94
99,6066.12
100,8002.31
101,2393.92
102,4762.82
103,4330.39
104,9402.73
105,6966.69
106,7694.06
107,8717.56
108,5928.75
109,2452.98
110,6701.57
111,7556.24
112,8492.7
113,7713.49
114,24084.54
115,7290.07
116,4772.94
117,6806.49
118,2469.78
119,3103.92
120,2981.88
121,8902.74
122,5499.45
123,15023.6
124,2509.11
125,31221.75
126,3133.5
127,3837.45
128,11790.5
129,7838.07
130,4305.81
131,5973.98
132,5670.44
133,4731.75
134,8026.38
135,4022.96
136,9618.31
137,2274.78
138,9552.93
139,10388.55
140,2470.12
141,5619.07
142,9047.12
143,6692.14
144,3731.5
145,3660.77
146,7928.83
147,5011.75
148,7988.26
149,3885.46
150,2659.34
151,8564.77
152,4885.16
153,9753.31
154,2946.15
155,2581.11
156,3517.39
157,9743.35
158,3873.65
159,7649.28
160,2287.6
161,4475.42
162,8714.92
163,2248.45
164,7416.2
165,7771.16
166,6968.34
167,4250.28
168,19776.57
169,21343.47
170,2413.14
171,15363.85
172,8456.96
173,2189.64
174,5780.18
175,4639.98
176,4465.34
177,5968.12
178,5097.76
179,4076.63
180,12252.6
181,16936.27
182,4892.44
183,9942.3
184,3735.84
185,13117.52
186,4574.52
187,5470.06
188,2978.85
189,6410.97
190,4479.02
191,2383.73
192,2764.49
193,7920.11
194,6889.1
195,3274.19
196,9951.71
197,2521.56
198,23706.11
199,6047.03
200,11140.3
201,4334.06
202,2799.75
203,7923.14
204,3688.11
205,12067.46
206,2924.98
207,15014.09
208,9277.23
209,6274.12
210,3886.65
211,4386.28
212,11365.27
213,5610.96
214,2912.89
215,6915.73
216,6262.66
217,6503.4
218,8007.4
219,2929.92
220,5969.55
221,5473.16
222,5645.4
223,6369.26
224,11833.77
225,6121.11
226,5159.37
227,2514.59
228,8668.61
229,4960.97
230,5504.14
231,7507.46
232,32269.85
233,5657.03
234,5061.76
235,5912.78
236,15182.28
237,10747.03
238,2050.62
239,2465.44
240,5343.12
241,8119.83
242,4605.27
243,6408.79
244,2376.53
245,3211.07
246,5094.52
247,25755.28
248,8672.23
249,8044.73
250,4001.52
251,16706.12
252,8544.41
253,7805.31
254,6112.76
255,4772.94
256,10979.1
257,5004.26
258,13223.04
259,2623.32
260,17840.2
261,5106.11
262,17930.6
263,5457.34
264,6563.64
265,4812.53
266,29328.04
267,5773.52
268,6847.12
269,3595.31
270,22855.61
271,7859.41
272,4115.58
273,5029.64
274,4821.42
275,5004.31
276,8630.05
277,9322.09
278,16727.56
279,3652.53
280,6158.6
281,4376.08
282,5569.46
283,2576.51
284,8346.98
285,6323.92
286,5973.14
287,4706.68
288,8093.41
289,5035.74
290,9027.87
291,7288.88
292,18042.48
293,4992.06
294,9102.27
295,2540.41
296,12941.89
297,2365.35
298,5720.77
299,7035.53
300,2636.98
301,5395.83
302,8382.63
303,31161.75
304,2887.74
305,8714.92
306,25585.73
307,10272.61
308,4376.36
309,5318.9
310,4719.76
311,4428.03
312,5879.18
313,9416.91
314,8288.16
315,32654.84
316,4719.45
317,3903.47
318,5457.26
319,2725.36
320,4433.97
321,5332.46
322,2315.09
323,5411.95
324,9587.33
325,22103.51
326,9764.95
327,2567.15
328,2650.62
329,11264.36
330,2168.52
331,8610.67
332,2834.65
333,8930.14
334,5536.39
335,2840.85
336,8082.88
337,5254.73
338,5116.24
339,3034.65
340,8024.9
341,18211.14
342,5121.56
343,2150.18
344,5595.39
345,7562.82
346,5385.85
347,4718.56
348,9422.57
349,3605.86
350,7762.59
351,23444.9
352,2558.18
353,5123.17
354,2537.74
355,2969.59
356,4363.12
357,5884.31
358,5272.19
359,5509.9
360,16313.68
361,5678.05
362,12101.21
363,2453.57
364,5075.66
365,3214.98
366,12275.34
367,2722.21
